"","guid","data_level","data_industry","data_function"
"23867","9vslunHM6T","Individual Contributor","Government","Administrative Services"
"23868","46xGNJrcDt","Supervisor","Communications","Sales"
"23869","EtynACxafD","Individual Contributor","Healthcare","General Management"
"23870","UAx5Ic9zGT","Individual Contributor","Retail","Marketing"
"23871","HQUWBizy4j","Mid-level Manager","Financial Services","Legal"
"23872","HD7MdawX8Q","Supervisor","Government","Operations"
"23873","u1abg97dQv","Individual Contributor","Retail","Legal"
"23874","2hqEeQkBKy","Individual Contributor","Advanced Technology","Sales"
"23875","DvGiXWldHc","Individual Contributor","Government","Sales"
"23876","3G5i4zaLZO","Individual Contributor","Government","Human Resources"
"23877","GtskuSCIJN","Functional Leader","Retail","Legal"
"23878","ubQDAvcCYg","Supervisor","Healthcare","Sales"
"23879","B5lgTRq84M","Supervisor","Financial Services","Human Resources"
"23880","ulzQeZkavX","Functional Leader","Financial Services","General Management"
"23881","CKv6TqWn8d","Supervisor","Financial Services","Marketing"
"23882","m1f9cvbskr","Individual Contributor","Financial Services","Sales"
"23883","l5xAwBejZR","Individual Contributor","Healthcare","Sales"
"23884","735nXTkom1","Individual Contributor","Government","Operations"
"23885","N5eIjlhXBx","Individual Contributor","Advanced Technology","Marketing"
"23886","IwqHxc3bph","Individual Contributor","Communications","Administrative Services"
"23887","y1cWr2ivKt","Functional Leader","Consumer Goods","Marketing"
"23888","tK4zc7YlpR","Individual Contributor","Consumer Goods","General Management"
"23889","lHOs5xna2o","Individual Contributor","Consumer Goods","General Management"
"23890","l9OsC8BiPQ","Functional Leader","Consumer Goods","Administrative Services"
"23891","9CW7R5wIf1","Individual Contributor","Financial Services","Human Resources"
"23892","otpYFedGID","Individual Contributor","Government","Administrative Services"
"23893","WyUc8wtB2s","Mid-level Manager","Healthcare","Sales"
"23894","O6dStlL9gn","Individual Contributor","Financial Services","Human Resources"
"23895","Iq1BcFb9aN","Individual Contributor","Consumer Goods","Marketing"
"23896","TLAmG7fapI","Functional Leader","Communications","Human Resources"
"23897","w7Ue2jdyZT","Individual Contributor","Government","General Management"
"23898","Qj2qIwEs89","Individual Contributor","Consumer Goods","Administrative Services"
"23899","236qvyTVMg","Individual Contributor","Communications","Legal"
"23900","wnbLZyG7Mc","Functional Leader","Healthcare","Sales"
"23901","4EZYTgO6wN","Supervisor","Consumer Goods","Marketing"
"23902","AGxSyUbNHd","Individual Contributor","Government","Marketing"
"23903","PKj691IDVJ","Individual Contributor","Retail","Sales"
"23904","8SsPmVqCfc","Individual Contributor","Healthcare","Sales"
"23905","gS5xsKRefC","Individual Contributor","Financial Services","General Management"
"23906","toxeE9I5hY","Individual Contributor","Advanced Technology","Sales"
"23907","HWerx6DNAv","Individual Contributor","Consumer Goods","Legal"
"23908","hsA4Xt6Jwz","Supervisor","Advanced Technology","Operations"
"23909","HYKChoJpA5","Individual Contributor","Financial Services","Administrative Services"
"23910","J2reodczXj","Individual Contributor","Financial Services","Human Resources"
"23911","TxXbvaMtfq","Mid-level Manager","Advanced Technology","Operations"
"23912","FkIWVTJqE9","Functional Leader","Consumer Goods","Sales"
"23913","T8ALg74f5V","Individual Contributor","Communications","Sales"
"23914","a6ozrcXygE","Supervisor","Communications","Administrative Services"
"23915","5ly8HMih1R","Individual Contributor","Retail","Administrative Services"
"23916","T25yrBfnqh","Supervisor","Retail","Human Resources"
"23917","iv8dSnTgP5","Individual Contributor","Communications","General Management"
"23918","yQVHTMw1xc","Functional Leader","Government","Sales"
"23919","F47nzVRvPj","Mid-level Manager","Consumer Goods","Human Resources"
"23920","YuHmO6DoBN","Individual Contributor","Consumer Goods","Human Resources"
"23921","OAeldLyk2o","Individual Contributor","Financial Services","Human Resources"
"23922","lm8kp6XPuZ","Individual Contributor","Retail","General Management"
"23923","JMhTB3gdxV","Individual Contributor","Communications","Sales"
"23924","tvgV7xT12I","Supervisor","Consumer Goods","Legal"
"23925","6FuIRH4JTS","Individual Contributor","Healthcare","Marketing"
"23926","ZwuP9jxd4D","Functional Leader","Financial Services","Administrative Services"
"23927","9NXsbYBeRj","Supervisor","Consumer Goods","Sales"
"23928","dwrYpliQaH","Individual Contributor","Communications","Sales"
"23929","p5ynTOsxWm","Individual Contributor","Healthcare","Marketing"
"23930","t5WXkaYN2o","Mid-level Manager","Advanced Technology","Legal"
"23931","GsJHSNY5BM","Individual Contributor","Advanced Technology","Human Resources"
"23932","tJaNihjDXE","Individual Contributor","Advanced Technology","General Management"
"23933","rmV23JpkPy","Individual Contributor","Financial Services","Operations"
"23934","d2wEHcifXq","Individual Contributor","Consumer Goods","Administrative Services"
"23935","Lf1uPBxNia","Functional Leader","Communications","General Management"
"23936","shlaWrfm39","Individual Contributor","Communications","Legal"
"23937","xyLACYFUIO","Individual Contributor","Financial Services","Administrative Services"
"23938","JBhGEoX641","Individual Contributor","Consumer Goods","Legal"
"23939","d54iJ9UfyZ","Individual Contributor","Healthcare","Human Resources"
"23940","X8jaN7oQgw","Supervisor","Retail","Operations"
"23941","3XixfDwQep","Individual Contributor","Retail","Administrative Services"
"23942","wXHWTsOEcY","Individual Contributor","Healthcare","General Management"
"23943","HXkG7ArIvL","Individual Contributor","Advanced Technology","Legal"
"23944","5ywoHLKeDW","Supervisor","Financial Services","Operations"
"23945","DpVfdezo8Y","Functional Leader","Financial Services","Administrative Services"
"23946","K16vsFYPTQ","Individual Contributor","Government","Sales"
"23947","HR3Ci7KgU4","Individual Contributor","Financial Services","Marketing"
"23948","NCtbDElOei","Individual Contributor","Healthcare","Legal"
"23949","sNKXoFUlJj","Supervisor","Government","Human Resources"
"23950","ZpEzx3QL6m","Individual Contributor","Consumer Goods","Marketing"
"23951","L6iTQC7DJh","Supervisor","Consumer Goods","Administrative Services"
"23952","RZGPF8sr26","Individual Contributor","Financial Services","Human Resources"
"23953","YasAlUM1R7","Individual Contributor","Financial Services","Operations"
"23954","zAtYxS3Tf1","Mid-level Manager","Financial Services","Sales"
"23955","OjwcqKJPkS","Individual Contributor","Financial Services","Marketing"
"23956","KsQlpzHqbk","Individual Contributor","Retail","Marketing"
"23957","tAsLZMvied","Functional Leader","Government","Sales"
"23958","eOjXWQETv7","Individual Contributor","Healthcare","General Management"
"23959","AKHs5vmytE","Individual Contributor","Healthcare","Sales"
"23960","TjiS8xX1wr","Individual Contributor","Government","Sales"
"23961","JexYFviHWG","Individual Contributor","Consumer Goods","Marketing"
"23962","p3sFmqVS2w","Functional Leader","Consumer Goods","Administrative Services"
"23963","iHdMyEpLXv","Functional Leader","Retail","Operations"
"23964","ERFUdlMPSw","Individual Contributor","Consumer Goods","Administrative Services"
"23965","JnpAI5quLQ","Individual Contributor","Communications","General Management"
"23966","D9mnIbVJc3","Supervisor","Retail","Operations"
"23967","Aj6DaTk3gs","Individual Contributor","Government","Administrative Services"
"23968","ap5ObKRHAy","Individual Contributor","Advanced Technology","Sales"
"23969","XUYNfMlbWI","Individual Contributor","Communications","Operations"
"23970","hFyxv53Tpe","Individual Contributor","Healthcare","Human Resources"
"23971","FpRPh6cXZ8","Individual Contributor","Advanced Technology","Legal"
"23972","dBbLNhacOV","Individual Contributor","Financial Services","Legal"
"23973","LnKROQIwJ7","Individual Contributor","Financial Services","Administrative Services"
"23974","y3znK6LaWA","Individual Contributor","Government","Marketing"
"23975","gODXuPy8MU","Individual Contributor","Consumer Goods","General Management"
"23976","UY671zVnTZ","Functional Leader","Consumer Goods","Legal"
"23977","JD9FwcIqez","Individual Contributor","Retail","General Management"
"23978","qLanQUjvyJ","Individual Contributor","Financial Services","Operations"
"23979","PUGrpYLBIM","Individual Contributor","Consumer Goods","Legal"
"23980","5yP3KmnboY","Mid-level Manager","Financial Services","Administrative Services"
"23981","fcGAIZqOoK","Individual Contributor","Financial Services","Human Resources"
"23982","PYaHbRkOh7","Mid-level Manager","Healthcare","Administrative Services"
"23983","Qq9zXFgedV","Individual Contributor","Healthcare","Sales"
"23984","lyKGAeNDXi","Individual Contributor","Government","Human Resources"
"23985","wxCtNfDa51","Functional Leader","Government","Sales"
"23986","sCKp1Pylv2","Mid-level Manager","Government","Sales"
"23987","QOEvPsCrIu","Individual Contributor","Retail","Legal"
"23988","zXg9VfaBvx","Supervisor","Financial Services","Legal"
"23989","9mCxEZ45da","Individual Contributor","Government","Sales"
"23990","zB56Of8eKl","Individual Contributor","Consumer Goods","Sales"
"23991","yl8rh3FEgP","Functional Leader","Communications","Operations"
"23992","Ybd87OUWNm","Individual Contributor","Communications","Sales"
"23993","XJZKb6AkDo","Supervisor","Consumer Goods","Sales"
"23994","9ufz6SdD7y","Functional Leader","Government","Legal"
"23995","Ey1LQfTnAr","Individual Contributor","Retail","Marketing"
"23996","PYT9U8uohD","Individual Contributor","Communications","Legal"
"23997","C9UoPZwcb4","Individual Contributor","Retail","Operations"
"23998","I4urUCWxla","Mid-level Manager","Advanced Technology","Operations"
"23999","rpRz67wQJi","Individual Contributor","Healthcare","Operations"
"24000","6Mn9skxj78","Supervisor","Advanced Technology","Human Resources"
